1599277713;0.533
1599277718;0.433
1599277723;0.535
1599277728;1.042
1599277733;0.497
1599277738;0.611
1599277743;1.054
1599277748;0.482
1599277753;0.499
1599277758;0.496
1599277763;0.491
1599277768;0.491
1599277773;0.473
1599277778;0.459
1599279446;0.547
1599279451;0.438
1599279456;0.483
1599279461;0.458
1599279466;0.471
1599279471;0.462
1599279476;0.487
1599279481;0.463
1599279486;0.463
1599279491;0.485
1599279496;0.473
1599279501;0.544
1599279506;0.475
1599279511;0.467
1599279516;0.471
1599279521;0.471
1599279526;0.444
1599279531;0.530
1599279536;0.540
1599279541;0.437
1599279546;0.453
1599279551;0.500
1599279556;0.483
1599279561;0.541
1599279566;0.474
1599279571;0.436
1599279576;0.484
1599279581;0.505
1599279586;0.498
1599279591;0.544
1599279596;0.474
1599279601;0.476
1599279606;1.839
1599279611;0.512
1599279616;0.502
1599279621;0.489
1599279626;0.488
1599279631;0.467
1599279636;0.623
1599279641;0.468
1599279646;0.491
1599279651;0.465
1599279656;0.750
1599279661;1.985
1599279666;0.500
1599279671;0.516
1599279676;1.575
1599279681;2.116
1599279686;0.485
1599279691;0.627
1599279696;1.817
1599279701;0.495
1599279706;0.526
